marca,modelo,ano,quilometros,cilindrada,matricula,url,preco,data_inspecao,data
Yamaha,BWs,2003 ,24000,Até 50 cc,,https://www.olx.pt/d/anuncio/bws-original-2003-50cc-IDIlTZh.html,1.300,22 de maio de 2024,28052024_2202
Yamaha,BWs,2003 ,24000,Até 50 cc,,https://www.olx.pt/d/anuncio/bws-original-2003-50cc-IDIlTZh.html,1.300,22 de maio de 2024,28052024_2202
Yamaha,BWs,2022 ,1500,Até 50 cc,,https://www.olx.pt/d/anuncio/bws-com-1000-e-poucos-kms-IDIhSL1.html,2.000,14 de maio de 2024,28052024_2202
Yamaha,BWs,2022 ,1500,Até 50 cc,,https://www.olx.pt/d/anuncio/bws-com-1000-e-poucos-kms-IDIhSL1.html,2.000,14 de maio de 2024,28052024_2202
Yamaha,BWs,2013 ,7200,126 - 500 cc,,https://www.olx.pt/d/anuncio/yamaha-bws-125-impecvel-IDI8dMr.html,2.900,10 de maio de 2024,28052024_2202
Yamaha,BWs,2013 ,7200,126 - 500 cc,,https://www.olx.pt/d/anuncio/yamaha-bws-125-impecvel-IDI8dMr.html,2.900,10 de maio de 2024,28052024_2202
